epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,18094.5,1.44737,0.81088,1.79016,0.76417,0.71325,0.76699,0.49372,2.82029,1.9616,2.68382,0.0019315,0.0019315,0.0019315
165,18204.8,1.41358,0.78877,1.78299,0.73366,0.74093,0.76611,0.49281,2.81995,1.96731,2.68153,0.001882,0.001882,0.001882
166,18314.6,1.44316,0.80679,1.79196,0.77033,0.71177,0.76794,0.49427,2.8176,1.96828,2.67878,0.0018325,0.0018325,0.0018325
167,18424.5,1.41644,0.79688,1.79357,0.77717,0.71128,0.77276,0.49727,2.81379,1.96244,2.67822,0.001783,0.001783,0.001783
168,18534.5,1.40274,0.7775,1.78763,0.77204,0.71247,0.77262,0.49679,2.81397,1.97463,2.68039,0.0017335,0.0017335,0.0017335
169,18644.5,1.38928,0.76827,1.78181,0.74757,0.7243,0.77095,0.49572,2.80993,1.98813,2.67957,0.001684,0.001684,0.001684
170,18754.5,1.37439,0.76053,1.77593,0.74326,0.72998,0.76961,0.49502,2.81053,1.98242,2.68087,0.0016345,0.0016345,0.0016345
171,18864.4,1.39568,0.7675,1.78079,0.77338,0.71256,0.77129,0.49677,2.80717,1.98153,2.68029,0.001585,0.001585,0.001585
172,18974.4,1.38552,0.78759,1.77811,0.7593,0.71588,0.77336,0.49724,2.80444,1.97913,2.68022,0.0015355,0.0015355,0.0015355
173,19084.7,1.3841,0.75825,1.7777,0.79684,0.69329,0.77546,0.50103,2.80254,1.9805,2.68018,0.001486,0.001486,0.001486
174,19195,1.37151,0.75984,1.76901,0.77979,0.70867,0.77517,0.5003,2.8012,1.97977,2.67988,0.0014365,0.0014365,0.0014365
175,19305.2,1.36913,0.77579,1.7733,0.7419,0.73326,0.77284,0.49906,2.80375,1.9774,2.68313,0.001387,0.001387,0.001387
176,19415.5,1.35756,0.77049,1.76757,0.74953,0.73175,0.77488,0.50053,2.80854,1.9803,2.68417,0.0013375,0.0013375,0.0013375
177,19525.7,1.35101,0.74034,1.76334,0.754,0.7289,0.77482,0.5004,2.80972,1.98635,2.68865,0.001288,0.001288,0.001288
178,19635.8,1.35004,0.74429,1.7595,0.78308,0.70502,0.77443,0.49982,2.81205,1.98774,2.68945,0.0012385,0.0012385,0.0012385
179,19746,1.32824,0.72983,1.75553,0.77736,0.71226,0.77125,0.49784,2.81226,1.9917,2.69239,0.001189,0.001189,0.001189
180,19856.1,1.3504,0.7363,1.76799,0.76397,0.71954,0.77217,0.49865,2.81027,1.98719,2.69098,0.0011395,0.0011395,0.0011395
181,19966.5,1.31234,0.727,1.75117,0.7672,0.71962,0.77305,0.49888,2.80983,1.98004,2.69234,0.00109,0.00109,0.00109
